=== Tag Frequencies ===
#3학점: 20 games
#룸메: 14 games
#팀모임: 13 games
#순발력: 11 games
#25: 9 games
#마피아: 8 games
#머더부: 7 games
#인기: 2 games
#커플: 1 games

=== Games with NO Tags ===
- 디크립토 (Genre: 단어/파티, Category: 보드게임, Players: 3~8)
- 라멘! 라멘! (Genre: 세트컬렉션, Category: 보드게임, Players: 1~4)
- 러브레터 (Genre: 블러핑/파티, Category: 보드게임, Players: 2~4)
- 레디 셋 벳 (Genre: 레이싱/파티, Category: 보드게임, Players: 2~9)
- EXIT : 수수께끼의 집 (Genre: 방탈출, Category: 보드게임, Players: 1~4)
- 셀레스티아 (Genre: 어드벤처, Category: 보드게임, Players: 2~6)
- 구두룡 저택의 살인 (Genre: 추리/머더, Category: 머더미스터리, Players: 7~9)
- 서스펙트 게임 (Genre: 추리, Category: 보드게임, Players: 4)
- COSMIC CLASH (Genre: 대전, Category: 보드게임, Players: 2~4)
- 바보타임 (Genre: 파티, Category: 보드게임, Players: 3~8)
- 서스펙트 게임 : 리로드 (Genre: 추리, Category: 보드게임, Players: 4)
- 다이얼렉트 덱 (Genre: TRPG, Category: TRPG, Players: 3~5)
- 다이얼렉트 (Genre: TRPG, Category: TRPG, Players: 3~5)
- 솔라리움 2 (Genre: 질문카드, Category: 보드게임, Players: 2~6)
- 해저탐험 (Genre: 운/파티, Category: 보드게임, Players: 2~6)
- MINECRAFT EXPLORERS (Genre: 협력, Category: 보드게임, Players: 1~4)
- OX 카운팅 퀘스천카드 (Genre: 파티, Category: 보드게임, Players: 2~10)
- QE (Genre: 경매, Category: 보드게임, Players: 3~5)
- LOTTY'S PLAYING CARDS (Genre: 카드, Category: 플레잉카드, Players: 2~10)
- KOREA CAT PLAYING CARDS (Genre: 카드, Category: 플레잉카드, Players: 2~10)
- 피아스코 (Genre: TRPG, Category: TRPG, Players: 3~5)
- ARCH ENEMY. (Genre: 전략, Category: 보드게임, Players: 2~4)
- RED ROOM (Genre: 전략, Category: 보드게임, Players: 3~6)
- SURVIVE (Genre: 생존, Category: 보드게임, Players: 2~4)
- 슬기로운 생존생활 : 빙하기편 (Genre: 자원관리, Category: 보드게임, Players: 3~4)

=== Alienated Games (Tags with <= 3 games) ===
- 노팅엄의 지방관: [#인기 #룸메] (Genre: 블러핑/협상, Players: 3~6)
- 달무티: [#팀모임 #인기] (Genre: 카드/파티, Players: 4~8)
- 세븐 원더스 : 듀얼: [#커플 #25] (Genre: 전략/2인, Players: 2~2)
